,Artists,Titles,Lyrics(BOW)
84,sean lennon,deat meat,[]
85,queens of the stone age,no one knows,"['We', 'get', 'some', 'rule', 'to', 'follow', 'that', 'and', 'thi', 'these', 'and', 'those', 'No', 'one', 'know', 'We', 'get', 'these', 'pill', 'to', 'swallow', 'how', 'they', 'stick', 'in', 'your', 'throat', 'tast', 'like', 'gold', 'Oh', 'what', 'you', 'do', 'to', 'me', 'No', 'one', 'know', 'and', 'I', 'realiz', 'you', ""'re"", 'mine', 'inde', 'a', 'fool', 'am', 'I', 'and', 'I', 'realiz', 'you', ""'re"", 'mine', 'inde', 'a', 'fool', 'am', 'I', 'ahhh', 'I', 'journey', 'through', 'the', 'desert', 'Of', 'the', 'mind', 'with', 'no', 'hope', 'I', 'follow', 'I', 'drift', 'along', 'the', 'ocean', 'dead', 'lifeboat', 'in', 'the', 'sun', 'and', 'come', 'undon', 'pleasantli', 'cave', 'in', 'I', 'come', 'undon', 'and', 'I', 'realiz', 'you', ""'re"", 'mine', 'inde', 'a', 'fool', 'am', 'I', 'and', 'I', 'realiz', 'you', ""'re"", 'mine', 'inde', 'a', 'fool', 'am', 'I', 'ahhh', 'heaven', 'smile', 'abov', 'me', 'what', 'a', 'gift', 'here', 'below', 'but', 'no', 'one', 'know', 'the', 'gift', 'that', 'you', 'give', 'to', 'me', 'No', 'one', 'know']"
86,the black keys,lonely boy,"['unfortun', 'we', 'are', 'not', 'licens', 'to', 'display', 'the', 'full', 'lyric', 'for', 'thi', 'song', 'at', 'the', 'moment', '.', 'hope', 'we', 'will', 'be', 'abl', 'to', 'in', 'the', 'futur', '.', 'until', 'then', '...', 'how', 'about', 'a', 'random', 'page', '?']"
87,gorillaz,clint eastwood,"['I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', 'the', 'futur', 'is', 'come', 'on', 'I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', 'the', 'futur', 'is', 'come', 'on', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'final', 'someon', 'let', 'me', 'out', 'of', 'my', 'cage', 'now', 'time', 'for', 'me', 'is', 'nothin', ""'"", ""'co"", 'I', ""'m"", 'count', 'no', 'age', 'now', 'I', 'could', ""n't"", 'be', 'there', 'now', 'you', 'should', ""n't"", 'be', 'scare', 'I', ""'m"", 'good', 'at', 'repair', 'and', 'I', ""'m"", 'under', 'each', 'snare', 'intang', '(', 'ah', ""y'all"", ')', 'I', 'bet', 'you', 'did', ""n't"", 'think', 'so', 'I', 'command', 'you', 'to', 'panoram', 'view', '(', 'you', ')', 'look', 'I', ""'ll"", 'make', 'it', 'all', 'manag', 'pick', 'and', 'choos', 'sit', 'and', 'lose', 'all', 'you', 'differ', 'crew', 'chick', 'and', 'dude', 'who', 'you', 'think', 'is', 'realli', 'kick', 'tune', 'pictur', 'you', 'get', 'down', 'and', 'I', ""'ll"", 'pictur', 'too', 'like', 'you', 'lit', 'the', 'fuse', 'you', 'think', 'it', ""'s"", 'fiction', 'mystic', '-', 'mayb', 'spiritu', 'hero', 'who', 'appear', 'on', 'you', 'to', 'clear', 'your', 'view', 'when', 'you', ""'re"", 'too', 'crazi', 'lifeless', 'for', 'whose', 'definit', 'is', 'for', 'what', 'life', 'is', 'priceless', 'to', 'you', 'becaus', 'I', 'put', 'ya', 'on', 'the', 'hype', 'shift', 'did', 'ya', 'like', 'it', '?', 'gut', 'smokin', ""'"", 'righteou', 'but', 'one', 'talkin', ""'"", 'psychic', 'but', 'among', 'know', 'possess', 'you', 'with', 'one', 'though', 'I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', 'the', 'futur', 'is', 'come', 'on', 'I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', '(', 'that', ""'s"", 'right', ')', 'the', 'futur', 'is', 'come', 'on', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'the', 'essenc', 'the', 'basic', 'without', 'it', 'you', 'make', 'it', 'allow', 'me', 'to', 'make', 'thi', 'child', 'like', 'a', 'natur', 'rhythm', 'you', 'have', 'it', 'or', 'you', 'do', ""n't"", 'that', ""'s"", 'a', 'fallaci', 'I', ""'m"", 'in', 'them', 'everi', 'spiral', 'tree', 'everi', 'child', 'of', 'peac', 'everi', 'cloud', 'I', 'see', 'you', 'see', 'with', 'your', 'eye', 'you', 'see', 'destruct', 'and', 'demis', '(', 'that', ""'s"", 'right', ')', 'corrupt', 'in', 'the', 'sky', 'from', 'thi', 'fuck', 'enterpris', 'that', 'I', ""'m"", 'suck', 'into', 'your', 'lie', 'the', 'russel', 'that', 'is', 'muscl', 'the', 'percuss', 'he', 'provid', 'for', 'me', 'I', 'say', 'god', ""y'all"", 'can', 'see', 'me', 'now', ""'co"", 'you', 'do', ""n't"", 'see', 'with', 'your', 'eye', 'you', 'perceiv', 'with', 'your', 'mind', 'that', ""'s"", 'the', 'end', 'of', 'it', 'So', 'I', ""'m"", 'gon', 'na', 'stick', 'around', 'with', 'russ', 'and', 'be', 'a', 'mentor', 'bust', 'a', 'few', 'round', 'of', 'motherfuck', 'rememb', 'but', 'the', 'thought', 'is', 'I', 'brought', 'all', 'thi', 'so', 'you', 'can', 'surviv', 'when', 'law', 'is', 'lawless', '(', 'right', 'here', ')', 'fearless', 'sensat', 'that', 'you', 'thought', 'wa', 'dead', 'No', 'squeal', 'rememb', 'that', 'it', ""'s"", 'all', 'in', 'your', 'head', 'I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', 'the', 'futur', 'is', 'come', 'on', 'I', 'ai', ""n't"", 'happi', 'I', ""'m"", 'feel', 'glad', 'I', 'got', 'sunshin', 'in', 'a', 'bag', 'I', ""'m"", 'useless', 'but', 'not', 'for', 'long', 'the', 'futur', 'is', 'come', 'on', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'My', 'futur', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'My', 'futur', 'It', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'it', ""'s"", 'come', 'on', 'My', 'futur']"
88,gorillaz,feel good inc.,"['gorillaz', 'feel', 'good', '...', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'citi', ""'s"", 'break', 'down', 'on', 'a', 'camel', ""'s"", 'back', 'they', 'just', 'have', 'to', 'go', ""'caus"", 'they', 'do', ""n't"", 'know', 'whack', 'So', 'all', 'you', 'fill', 'the', 'street', 'it', ""'s"", 'appeal', 'to', 'see', 'you', 'wo', ""n't"", 'get', 'out', 'the', 'counti', ""'caus"", 'you', ""'re"", 'damn', 'as', 'free', 'you', 'got', 'a', 'new', 'horizon', 'it', ""'s"", 'ephemer', 'style', 'A', 'melancholi', 'town', 'where', 'we', 'never', 'smile', 'and', 'all', 'I', 'wan', 'na', 'hear', 'is', 'the', 'messag', 'beep', 'My', 'dream', 'they', 'got', 'ta', 'kiss', 'becaus', 'I', 'do', ""n't"", 'get', 'sleep', 'no', 'windmil', 'windmil', 'for', 'the', 'land', 'turn', 'forev', 'hand', 'in', 'hand', 'take', 'it', 'all', 'in', 'on', 'your', 'stride', 'It', 'is', 'tick', 'fall', 'down', 'love', 'forev', 'love', 'is', 'free', 'let', ""'s"", 'turn', 'forev', 'you', 'and', 'me', 'windmil', 'windmil', 'for', 'the', 'land', 'Is', 'everybodi', 'in', '?', 'De', 'La', 'soul', 'laugh', 'ga', 'these', 'hazmat', 'fast', 'cat', 'line', 'them', 'up', 'like', 'ass', 'crack', 'lay', 'these', 'poni', 'at', 'the', 'track', 'It', ""'s"", 'my', 'chocol', 'attack', 'shit', 'I', ""'m"", 'step', 'in', 'the', 'heart', 'of', 'thi', 'here', 'care', 'bear', 'reppin', ""'"", 'in', 'the', 'heart', 'of', 'thi', 'here', 'watch', 'me', 'as', 'I', 'gravit', 'hahahahahaa', 'Yo', 'we', 'goin', ""'"", 'ghost', 'town', 'thi', 'motown', 'with', 'yo', 'sound', 'you', 'in', 'the', 'blink', 'gon', ""'"", 'bite', 'the', 'dust', 'ca', ""n't"", 'fight', 'with', 'us', 'with', 'yo', 'sound', 'you', 'kill', 'the', 'inc', '.', 'So', 'do', ""n't"", 'stop', 'get', 'it', 'get', 'it', 'until', 'you', 'jet', 'ahead', 'Yo', 'watch', 'the', 'way', 'I', 'navig', 'hahahahahaa', 'gorillaz', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', 'windmil', 'windmil', 'for', 'the', 'land', 'turn', 'forev', 'hand', 'in', 'hand', 'take', 'it', 'all', 'in', 'on', 'your', 'stride', 'It', 'is', 'tick', 'fall', 'down', 'love', 'forev', 'love', 'is', 'free', 'let', ""'s"", 'turn', 'forev', 'you', 'and', 'me', 'windmil', 'windmil', 'for', 'the', 'land', 'Is', 'everybodi', 'in', '?', 'De', 'La', 'soul', 'Do', ""n't"", 'stop', 'shit', 'it', 'get', 'it', 'We', 'are', 'your', 'captain', 'in', 'it', 'steadi', 'watch', 'me', 'navig', 'hahahahahaa', 'Do', ""n't"", 'stop', 'shit', 'it', 'get', 'it', 'We', 'are', 'your', 'captain', 'in', 'it', 'steadi', 'watch', 'me', 'navig', 'hahahahahaa', 'gorillaz', 'feel', 'good', '...', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '(', 'ahhhhahahahah', ')', 'shake', 'it', 'shake', 'it', 'shake', 'it', 'feel', 'good', '...', 'ahhhhahahahah', '...', '!']"
89,the verve,bittersweet symphony,[]
90,the beatles,come together,"['shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'here', 'come', 'old', 'flat-top', 'He', 'come', 'groovin', ""'"", 'up', 'slowli', 'He', 'got', 'joo-joo', 'eyebal', 'He', 'one', 'holi', 'roller', 'He', 'got', 'hair', 'down', 'to', 'hi', 'knee', 'got', 'to', 'be', 'a', 'joker', 'he', 'just', 'do', 'what', 'he', 'pleas', 'shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'He', 'wear', 'no', 'shoeshin', 'He', 'got', 'toe-jam', 'footbal', 'He', 'got', 'monkey', 'finger', 'He', 'shoot', 'coca-cola', 'He', 'say', 'I', 'know', 'you', 'you', 'know', 'me', 'one', 'thing', 'I', 'can', 'tell', 'you', 'is', 'you', 'got', 'to', 'be', 'free', 'come', 'togeth', 'right', 'now', 'over', 'me', 'shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'He', 'bag', 'product', 'He', 'got', 'walru', 'gumboot', 'He', 'got', 'ono', 'sideboard', 'He', 'one', 'spinal', 'cracker', 'He', 'got', 'feet', 'down', 'below', 'hi', 'knee', 'hold', 'you', 'in', 'hi', 'armchair', 'you', 'can', 'feel', 'hi', 'diseas', 'come', 'togeth', 'right', 'now', 'over', 'me', 'right', '!', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'heh', 'come', 'come', 'come', 'come', 'come', 'He', 'roller', 'coaster', 'He', 'got', 'earli', 'warn', 'He', 'got', 'muddi', 'water', 'He', 'one', 'mojo', 'filter', 'He', 'say', 'one', 'and', 'one', 'and', 'one', 'is', 'three', 'got', 'to', 'be', 'good-look', ""'caus"", 'he', ""'s"", 'so', 'hard', 'to', 'see', 'come', 'togeth', 'right', 'now', 'over', 'me', 'shoot', 'me', 'shoot', 'me', 'shoot', 'me', 'Oh', '!', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah', 'come', 'togeth', 'yeah']"
91,bobby mcferrin,don't worry be happy,"['here', ""'s"", 'a', 'littl', 'song', 'I', 'wrote', 'you', 'might', 'want', 'to', 'sing', 'it', 'note', 'for', 'note', 'Do', ""n't"", 'worri', 'be', 'happi', 'In', 'everi', 'life', 'we', 'have', 'some', 'troubl', 'but', 'when', 'you', 'worri', 'you', 'make', 'it', 'doubl', 'Do', ""n't"", 'worri', 'be', 'happi', 'Do', ""n't"", 'worri', 'be', 'happi', 'now', 'ooh-ooh-hoo-hoo-ooh', 'hoo-hoo-ooh-ooh', 'ooh', '...', 'Do', ""n't"", 'worri', 'woo', 'ooh-woo-ooh-woo-ooh-ooh', '...', 'Be', 'happi', 'woo', 'ooh-ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'be', 'happi', 'ooh-ooh', 'hoo-hoo-ooh', 'hoo-hoo-ooh-ooh', 'ooh-ooh', '...', 'Do', ""n't"", 'worri', 'woo', 'ooh-woo-ooh-ooh-ooh-ooh', '...', 'Be', 'happi', 'woo-ooh-woo-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'be', 'happi', 'Ai', ""n't"", 'got', 'no', 'place', 'to', 'lay', 'your', 'head', 'somebodi', 'came', 'and', 'took', 'your', 'bed', 'Do', ""n't"", 'worri', 'be', 'happi', 'the', 'landlord', 'say', 'your', 'rent', 'is', 'late', 'he', 'may', 'have', 'to', 'litig', 'Do', ""n't"", 'worri', 'ha-ha', 'ha-ha', 'ha-ha', 'Be', 'happi', 'look', 'at', 'me', 'I', ""'m"", 'happi', 'ooh-ooh-hoo-hoo-ooh', 'ooh-ooh-ooh-ooh', 'ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'ooh-ooh-ooh-ooh-ooh-ooh-ooh', '...', 'Be', 'happi', 'ooh-ooh-ooh-ooh-ooh', '...', 'here', 'I', ""'ll"", 'give', 'you', 'my', 'phone', 'number', 'when', 'you', ""'re"", 'worri', 'call', 'me', 'I', ""'ll"", 'make', 'you', 'happi', 'ooh-ooh-hoo-hoo-ooh', 'ooh-ooh-ooh-ooh', 'ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'woo', 'ooh-ooh-ooh-ooh-ooh-ooh', '...', 'Be', 'happi', 'woo', 'ooh-ooh-ooh-ooh', '...', 'Ai', ""n't"", 'got', 'no', 'cash', 'ai', ""n't"", 'got', 'no', 'style', 'Ai', ""n't"", 'got', 'no', 'gal', 'to', 'make', 'you', 'smile', 'but', 'do', ""n't"", 'worri', 'be', 'happi', ""'caus"", 'when', 'you', ""'re"", 'worri', 'your', 'face', 'will', 'frown', 'and', 'that', 'will', 'bring', 'everybodi', 'down', 'So', 'do', ""n't"", 'worri', 'be', 'happi', 'Do', ""n't"", 'worri', 'be', 'happi', 'now', 'ooh-ooh-hoo-ooh-ooh', 'ooh-ooh-ooh-ooh', 'ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'ooh-ooh-ooh-ooh-ooh-ooh-ooh', '...', 'Be', 'happi', 'woo', 'ooh-ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'be', 'happi', 'ooh-ooh-ooh-ooh-ooh', 'ooh-ooh-ooh-ooh', 'ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'woo', 'ooh-ooh-ooh-hoo-ooh-ooh', '...', 'Be', 'happi', 'woo', 'ooh-ooh-ooh-ooh', '...', 'Do', ""n't"", 'worri', 'be', 'happi', 'now', 'there', 'is', 'thi', 'song', 'I', 'wrote', 'I', 'hope', 'you', 'learn', 'it', 'note', 'for', 'note', 'like', 'good', 'littl', 'children', 'Do', ""n't"", 'worri', 'be', 'happi', 'listen', 'to', 'a', 'what', 'I', 'say', 'in', 'your', 'life', 'expect', 'some', 'troubl', 'when', 'you', 'worri', 'you', 'make', 'it', 'doubl', 'Do', ""n't"", 'worri', 'be', '...', 'happi', '...', 'be', 'happi', 'now', 'ooh-ooh-hoo-hoo-ooh', 'ooh-ooh-ooh-ooh', 'ooh-ooh-ooh', 'be', 'happi']"
92,ben e king,stand by me,"['when', 'the', 'night', 'ha', 'come', 'and', 'the', 'land', 'is', 'dark', 'and', 'the', 'moon', 'is', 'the', 'onli', 'light', 'we', ""'ll"", 'see', 'No', 'I', 'wo', ""n't"", 'be', 'afraid', 'Oh', 'I', 'wo', ""n't"", 'be', 'afraid', 'just', 'as', 'long', 'as', 'you', 'stand', 'stand', 'by', 'me', 'So', 'darl', 'darl', 'stand', 'by', 'me', 'oh', 'stand', 'by', 'me', 'Oh', 'stand', 'stand', 'by', 'me', 'stand', 'by', 'me', 'If', 'the', 'sky', 'that', 'we', 'look', 'upon', 'should', 'tumbl', 'and', 'fall', 'Or', 'the', 'mountain', 'should', 'crumbl', 'to', 'the', 'sea', 'I', 'wo', ""n't"", 'cri', 'I', 'wo', ""n't"", 'cri', 'No', 'I', 'wo', ""n't"", 'shed', 'a', 'tear', 'just', 'as', 'long', 'as', 'you', 'stand', 'stand', 'by', 'me', 'and', 'darl', 'darl', 'stand', 'by', 'me', 'oh', 'stand', 'by', 'me', 'Oh', 'stand', 'now', 'stand', 'by', 'me', 'stand', 'by', 'me', 'darl', 'darl', 'stand', 'by', 'me', 'oh', 'stand', 'by', 'me', 'Oh', 'stand', 'now', 'stand', 'by', 'me', 'stand', 'by', 'me', 'whenev', 'you', ""'re"", 'in', 'troubl', 'wo', ""n't"", 'you', 'stand', 'by', 'me', 'Oh', 'stand', 'by', 'me', 'oh', 'wo', ""n't"", 'you', 'stand', 'now', 'stand', 'stand', 'by', 'me', '...']"
93,pharrell williams,happy,"['It', 'might', 'seem', 'crazi', 'what', 'I', 'am', 'about', 'to', 'say', 'sunshin', 'she', ""'s"", 'here', 'you', 'can', 'take', 'a', 'break', 'I', ""'m"", 'a', 'hot', 'air', 'balloon', 'that', 'could', 'go', 'to', 'space', 'with', 'the', 'air', 'like', 'I', 'do', ""n't"", 'care', 'babi', 'by', 'the', 'way', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', 'here', 'come', 'bad', 'news', 'talk', 'thi', 'and', 'that', 'yeah', 'give', 'me', 'all', 'you', 'got', 'do', ""n't"", 'hold', 'back', 'yeah', 'well', 'I', 'should', 'probabl', 'warn', 'you', 'I', ""'ll"", 'be', 'just', 'fine', 'yeah', 'no', 'offens', 'to', 'you', 'do', ""n't"", 'wast', 'your', 'time', 'here', ""'s"", 'whi', ':', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', 'happi', 'come', 'on', 'bring', 'me', 'down', 'happi', 'come', 'on', 'bring', 'me', 'down', 'My', 'love', 'is', 'too', 'high', 'to', 'bring', 'me', 'down', 'Ca', ""n't"", 'noth', 'bring', 'me', 'down', 'I', 'said', 'bring', 'me', 'down', 'Ca', ""n't"", 'noth', 'bring', 'me', 'down', 'My', 'love', 'is', 'too', 'high', 'to', 'bring', 'me', 'down', 'Ca', ""n't"", 'noth', 'bring', 'me', 'down', 'I', 'said', ':', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', '(', 'becaus', 'I', ""'m"", 'happi', ')', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', '(', 'happi', 'happi', 'happi', 'happi', ')', 'bring', 'me', 'down', '...', 'ca', ""n't"", 'noth', '...', '(', 'happi', 'happi', 'happi', 'happi', ')', 'bring', 'me', 'down', '...', 'my', 'love', 'is', 'too', 'high', '...', '(', 'happi', 'happi', 'happi', 'happi', ')', 'bring', 'me', 'down', '...', 'ca', ""n't"", 'noth', '...', '(', 'happi', 'happi', 'happi', 'happi', ')', 'bring', 'me', 'down', 'I', 'said', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'a', 'room', 'without', 'a', 'roof', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'happi', 'is', 'the', 'truth', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'know', 'what', 'happi', 'is', 'to', 'you', 'becaus', 'I', ""'m"", 'happi', 'clap', 'along', 'if', 'you', 'feel', 'like', 'that', ""'s"", 'what', 'you', 'wan', 'na', 'do', 'come', 'on', '!', '(', 'echo', ')']"
